"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDP","TOT","USD_CAP","A","2018",52991.2149,
"AUS","GDP","TOT","USD_CAP","A","2019",52732.185831,
"AUS","GDP","TOT","USD_CAP","A","2020",55690.254043,
"AUS","GDP","TOT","USD_CAP","A","2021",61974.774982,
"AUT","GDP","TOT","USD_CAP","A","2018",56956.110562,
"AUT","GDP","TOT","USD_CAP","A","2019",59719.612013,
"AUT","GDP","TOT","USD_CAP","A","2020",57258.818295,
"AUT","GDP","TOT","USD_CAP","A","2021",59991.439846,
"AUT","GDP","TOT","USD_CAP","A","2022",68774.881689,
"BEL","GDP","TOT","USD_CAP","A","2018",52530.84151,
"BEL","GDP","TOT","USD_CAP","A","2019",55801.087951,
"BEL","GDP","TOT","USD_CAP","A","2020",54544.288759,"P"
"BEL","GDP","TOT","USD_CAP","A","2021",58820.998349,"P"
"BEL","GDP","TOT","USD_CAP","A","2022",66176.491484,"P"
"CAN","GDP","TOT","USD_CAP","A","2018",49992.811418,
"CAN","GDP","TOT","USD_CAP","A","2019",49832.414539,
"CAN","GDP","TOT","USD_CAP","A","2020",47226.357276,
"CAN","GDP","TOT","USD_CAP","A","2021",53023.405782,
"CAN","GDP","TOT","USD_CAP","A","2022",57058.469082,
"CZE","GDP","TOT","USD_CAP","A","2018",41157.370409,
"CZE","GDP","TOT","USD_CAP","A","2019",44223.295751,
"CZE","GDP","TOT","USD_CAP","A","2020",42817.867499,
"CZE","GDP","TOT","USD_CAP","A","2021",44813.002627,
"CZE","GDP","TOT","USD_CAP","A","2022",49956.512049,
"DNK","GDP","TOT","USD_CAP","A","2018",57479.350221,
"DNK","GDP","TOT","USD_CAP","A","2019",59884.11738,
"DNK","GDP","TOT","USD_CAP","A","2020",60846.803672,
"DNK","GDP","TOT","USD_CAP","A","2021",64914.189543,
"DNK","GDP","TOT","USD_CAP","A","2022",74793.266721,
"FIN","GDP","TOT","USD_CAP","A","2018",49573.255773,
"FIN","GDP","TOT","USD_CAP","A","2019",51811.599332,
"FIN","GDP","TOT","USD_CAP","A","2020",52294.342491,
"FIN","GDP","TOT","USD_CAP","A","2021",54701.696922,
"FIN","GDP","TOT","USD_CAP","A","2022",59808.219831,
"FRA","GDP","TOT","USD_CAP","A","2018",46336.933985,
"FRA","GDP","TOT","USD_CAP","A","2019",50222.232835,
"FRA","GDP","TOT","USD_CAP","A","2020",47828.528542,
"FRA","GDP","TOT","USD_CAP","A","2021",51011.836944,"P"
"FRA","GDP","TOT","USD_CAP","A","2022",55698.406803,"P"
"DEU","GDP","TOT","USD_CAP","A","2018",55195.722049,
"DEU","GDP","TOT","USD_CAP","A","2019",57397.473982,"P"
"DEU","GDP","TOT","USD_CAP","A","2020",56482.377267,"P"
"DEU","GDP","TOT","USD_CAP","A","2021",58799.012445,"P"
"DEU","GDP","TOT","USD_CAP","A","2022",64101.466443,"P"
"GRC","GDP","TOT","USD_CAP","A","2018",29617.518625,
"GRC","GDP","TOT","USD_CAP","A","2019",31155.946796,
"GRC","GDP","TOT","USD_CAP","A","2020",28416.523031,"P"
"GRC","GDP","TOT","USD_CAP","A","2021",31297.164572,"P"
"GRC","GDP","TOT","USD_CAP","A","2022",37212.227345,"P"
"HUN","GDP","TOT","USD_CAP","A","2018",31908.863431,
"HUN","GDP","TOT","USD_CAP","A","2019",34645.565383,
"HUN","GDP","TOT","USD_CAP","A","2020",34169.922355,
"HUN","GDP","TOT","USD_CAP","A","2021",36773.313939,"P"
"HUN","GDP","TOT","USD_CAP","A","2022",42665.113312,"P"
"ISL","GDP","TOT","USD_CAP","A","2018",57208.31151,
"ISL","GDP","TOT","USD_CAP","A","2019",59994.528512,
"ISL","GDP","TOT","USD_CAP","A","2020",54655.139021,
"ISL","GDP","TOT","USD_CAP","A","2021",58311.864748,
"IRL","GDP","TOT","USD_CAP","A","2018",84824.335541,
"IRL","GDP","TOT","USD_CAP","A","2019",89846.694028,
"IRL","GDP","TOT","USD_CAP","A","2020",94037.963161,
"IRL","GDP","TOT","USD_CAP","A","2021",106879.157958,
"IRL","GDP","TOT","USD_CAP","A","2022",128343.445998,
"ITA","GDP","TOT","USD_CAP","A","2018",43427.663143,
"ITA","GDP","TOT","USD_CAP","A","2019",45799.741922,
"ITA","GDP","TOT","USD_CAP","A","2020",43144.404157,
"ITA","GDP","TOT","USD_CAP","A","2021",46686.423758,
"ITA","GDP","TOT","USD_CAP","A","2022",52461.180226,
"JPN","GDP","TOT","USD_CAP","A","2018",42264.585123,
"JPN","GDP","TOT","USD_CAP","A","2019",42427.125075,
"JPN","GDP","TOT","USD_CAP","A","2020",41867.153393,
"JPN","GDP","TOT","USD_CAP","A","2021",42895.146536,
"KOR","GDP","TOT","USD_CAP","A","2018",43044.340145,
"KOR","GDP","TOT","USD_CAP","A","2019",43410.152957,
"KOR","GDP","TOT","USD_CAP","A","2020",44694.939796,
"KOR","GDP","TOT","USD_CAP","A","2021",46875.178673,"P"
"LUX","GDP","TOT","USD_CAP","A","2018",116334.724739,
"LUX","GDP","TOT","USD_CAP","A","2019",119253.372812,
"LUX","GDP","TOT","USD_CAP","A","2020",119882.982023,
"LUX","GDP","TOT","USD_CAP","A","2021",131311.164821,
"LUX","GDP","TOT","USD_CAP","A","2022",143394.130003,"P"
"MEX","GDP","TOT","USD_CAP","A","2018",20561.246895,
"MEX","GDP","TOT","USD_CAP","A","2019",20244.557477,
"MEX","GDP","TOT","USD_CAP","A","2020",18465.575374,"P"
"MEX","GDP","TOT","USD_CAP","A","2021",19438.782132,"P"
"NLD","GDP","TOT","USD_CAP","A","2018",57825.399708,
"NLD","GDP","TOT","USD_CAP","A","2019",60207.9957,
"NLD","GDP","TOT","USD_CAP","A","2020",59821.266235,"P"
